Simulation,Final_Value
1019,1336784.2790389888
1020,1536940.1194112005
1021,1731963.9200168482
1022,1253860.2579167837
1023,1335159.7720828615
1024,603053.0361702179
1025,1483421.5122369868
1026,964119.3501530417
1027,1931474.524708548
1028,839766.4662753961
1029,841519.3775601258
1030,992020.6460839437
1031,1084417.1588029491
1032,1811247.9245371919
1033,1336074.7722118734
1034,1407242.4199966274
1035,802135.3368722759
1036,1247025.8707065939
1037,1213373.5657572874
1038,1859785.2469610523
1039,1038422.7578895446
1040,1199818.1302110185
1041,1127617.1858511115
1042,1348443.0048689723
1043,1640639.4513516037
1044,1306624.6276390827
1045,1445534.7865837014
1046,952694.2698191792
1047,826100.3336819091
1048,1513810.7234040454
1049,2094103.8217451205
1050,1295347.0487086594
1051,1347218.4490378168
1052,1048733.910578958
1053,1228652.3381839683
1054,2234247.156023528
1055,760050.6461967801
1056,1583310.3563764538
1057,1049531.1480085102
1058,1705336.1292200366
1059,1426143.9830398834
1060,2437552.9137847372
1061,1363177.9745474786
1062,1664990.6097051757
1063,1220732.1250526619
1064,1432968.4761417948
1065,1492489.5969097002
1066,981217.6236208145
1067,1427837.5928653323
1068,922288.9808658635
1069,1116909.8353921769
1070,1368482.7655738525
1071,1096179.3316660747
1072,731455.1253060091
1073,1462249.5626006376
1074,1196033.2693382497
1075,1267561.6647060066
1076,1444401.9618492331
1077,1241236.3141796705
1078,1733320.3981905149
1079,1671347.9868139382
1080,979480.0788371312
1081,1281339.9030598665
1082,667196.6537340772
1083,1362827.8054249608
1084,1139050.2963737773
1085,1468204.1687643395
1086,777687.2408883967
1087,2366612.655255547
1088,1065257.442516682
1089,1705292.9678536686
1090,730069.8803600423
1091,1213268.1494808402
1092,1220062.3931830318
1093,936282.4359898078
1094,930082.0550040777
1095,1145179.5531299654
1096,641167.5102709527
1097,1201891.66961494
1098,1347213.7037565073
1099,1210153.0159644703
1100,1875897.9908107237
1101,873360.1820146674
1102,977770.5966292092
1103,1858465.8433226063
1104,1738817.2652070627
1105,1223755.076241775
1106,625488.5886487806
1107,1651992.044572563
1108,1323243.0698495258
1109,1534343.4369176475
1110,1498796.6763408217
1111,1513793.5514376557
1112,909721.5582376568
1113,1617698.169981726
1114,1131950.2966486928
1115,1162132.6352421548
1116,1504884.8448081838
1117,1529440.8566350976
1118,1617778.3892440598
1119,1961662.8372180364
1120,2124687.253506163
1121,1706591.1618533959
1122,1184018.6093512762
1123,940012.6398762912
1124,1399934.6936303917
1125,1054625.569553356
1126,1422338.971937692
1127,1753740.2616780929
1128,1659960.4202002445
1129,882596.9175087175
1130,1298569.4516710753
1131,1323449.1967991102
1132,1346937.335480122
1133,843501.9525282384
1134,1837006.6890404886
1135,818742.070553257
1136,2002685.9622689402
1137,1240796.5887578179
1138,1825671.6256431316
1139,955717.5199937115
1140,994232.8705377992
1141,1183725.2427603337
1142,1326920.489266165
1143,1610131.7403820672
1144,1227998.8358873758
1145,1641147.8592026155
1146,1238184.9337014318
1147,2071330.205277821
1148,1442126.4321523237
1149,934264.9362408256
1150,1187881.212865568
1151,1074488.427820845
1152,1757872.8431589755
1153,1723638.024239138
1154,2025155.4195571132
1155,1342919.1604115441
1156,801797.2518126477
1157,726781.3753190022
1158,1397220.0167711324
1159,1044235.336436812
1160,1421163.3144819706
1161,1634190.239843774
1162,1794851.6509658296
1163,1222173.9457563616
1164,636222.9554776878
1165,876655.6854635137
1166,1092906.9113585858
1167,1078117.588601333
1168,1510496.516855114
1169,3219410.4345498
1170,1470472.5266221394
1171,1424618.8748589817
1172,1491676.7874080988
1173,916746.8546218608
1174,1908437.7874533557
1175,3274102.6304309904
1176,638439.138571027
1177,1156563.5805933422
1178,1112157.2121371469
1179,2201873.329415201
1180,1121172.8125971137
1181,1035394.5488476752
1182,1344928.7154214398
1183,1173203.8366430472
1184,847853.5559892824
1185,953331.2154806434
1186,1471127.639434065
1187,775689.213436966
1188,1352163.9226058477
1189,1311032.2659892275
1190,1705406.0732172234
1191,1304904.6436936974
1192,783294.1505661176
1193,1497620.5476613366
1194,1609265.303924146
1195,2320301.259766966
1196,1050304.3601707504
1197,877664.5345774479
1198,683858.6538472093
1199,2201209.39607138
1200,1451325.2263052177
1201,815959.7872377532
1202,1369726.5390515109
1203,817446.436198936
1204,1251938.412692424
1205,900984.1720647548
1206,1645460.0870369289
1207,1216208.877090006
1208,1194139.8119392325
1209,831511.4019822229
1210,874537.5393028464
1211,1540142.0670388367
1212,1064552.5694123637
1213,1197945.9720861306
1214,1606652.8332925858
1215,935252.6443981655
1216,1825762.1924247833
1217,1077492.1328765557
1218,1397658.9985181447
1219,1180815.1841938307
1220,1582588.4573367923
1221,2397215.479849035
1222,1118867.9939340334
1223,2153684.944522261
1224,1425815.8700904138
1225,1019498.3760953001
1226,807411.4168998775
1227,1251813.5263230999
1228,1827261.8839937542
1229,1712320.5498838127
1230,1134356.0944161823
1231,1233659.918920592
1232,748650.6069170141
1233,1091777.3736637502
1234,1156254.3133558114
1235,1140970.148384313
1236,1045031.3304819938
1237,1058751.6158125189
1238,1400758.3048205487
1239,764332.6070453724
1240,1056834.7221085606
1241,1438967.4801014788
1242,770764.5139337175
1243,1408489.910753629
1244,1774439.6789556022
1245,1113249.7972519281
1246,762125.3420812039
1247,1038725.07419562
1248,1490768.1694470418
1249,1399654.0717072366
1250,1285728.7526724974
1251,1326530.1246246067
1252,779406.5766574783
1253,1008383.658819565
1254,942800.3448914258
1255,1327245.601007878
1256,827733.6492198354
1257,1202144.1000890876
1258,736752.5582635511
1259,831088.8541791613
1260,969874.3417991785
1261,1546109.1842091167
1262,968024.3517243713
1263,837992.0291309156
1264,1284518.0772316381
1265,1053000.3472474976
1266,1343671.7970683067
1267,1600903.9364933267
1268,1053052.4918490306
1269,1047041.981738173
1270,1947172.9347243563
1271,1325438.1073878054
1272,1024300.1322178451
1273,667368.1871281571
1274,1777357.811209464
1275,1023484.7629773227
1276,1192707.4108864327
1277,2036891.678614635
1278,2446829.26700812
1279,1044050.7532644247
1280,1387656.862703857
1281,871184.359303144
1282,1305483.457679681
1283,871804.0579753888
1284,1404769.1283528588
1285,982813.2950084169
1286,1891202.04189026
1287,842994.5200937376
1288,700752.3715261489
1289,1269082.6623855685
1290,1243974.8602124923
1291,729517.2002231798
