Date,EMA_12,EMA_26,MACD,Signal_Line
2017-07-11,16.05137073,16.39941021,-0.348039474,-0.255910589
2017-07-12,16.01869827,16.35789832,-0.339200047,-0.272568481
2017-07-13,15.96074472,16.30486883,-0.344124107,-0.286879606
2017-07-14,15.94893782,16.27369335,-0.324755532,-0.294454791
2017-07-17,15.96448573,16.25712341,-0.292637687,-0.294091371
2017-07-18,16.00410333,16.25452169,-0.250418363,-0.285356769
2017-07-19,16.04208734,16.25426078,-0.212173437,-0.270720102
2017-07-20,16.08161234,16.25757478,-0.175962446,-0.251768571
2017-07-21,16.13213349,16.26886553,-0.136732036,-0.228761264
2017-07-24,16.17303614,16.2784311,-0.105394956,-0.204088002
2017-07-25,16.2228767,16.29462137,-0.071744672,-0.177619336
2017-07-26,16.25243427,16.30353837,-0.051104103,-0.15231629
2017-07-27,16.29498274,16.32023918,-0.025256444,-0.126904321
2017-07-28,16.35175456,16.34570291,0.006051643,-0.100313128
2017-07-31,16.41302309,16.37565085,0.03737224,-0.072776054
2017-08-01,16.46148117,16.40175083,0.059730341,-0.046274775
2017-08-02,16.49771492,16.42362118,0.074093738,-0.022201073
2017-08-03,16.51252798,16.43624182,0.076286164,-0.002503625
2017-08-04,16.46783139,16.42037207,0.047459325,0.007488965
2017-08-07,16.42985743,16.40560381,0.02425362,0.010841896
2017-08-08,16.41911023,16.4022258,0.016884431,0.012050403
2017-08-09,16.48293937,16.43420905,0.048730323,0.019386387
2017-08-10,16.56802551,16.4787861,0.08923941,0.033356992
2017-08-11,16.64079087,16.5204316,0.120359271,0.050757448
2017-08-14,16.71036157,16.56284411,0.147517465,0.070109451
2017-08-15,16.7072291,16.5722631,0.134966003,0.083080761
2017-08-16,16.73950152,16.59779915,0.141702367,0.094805083
2017-08-17,16.7841937,16.62981408,0.154379618,0.10671999
2017-08-18,16.81431768,16.65575375,0.15856393,0.117088778
2017-08-21,16.84211509,16.68088316,0.161231926,0.125917407
2017-08-22,16.8605589,16.70170662,0.15885228,0.132504382
2017-08-23,16.88693439,16.72617277,0.160761625,0.138155831
2017-08-24,16.89694443,16.74290069,0.154043748,0.141333414
2017-08-25,16.91864531,16.7647599,0.153885405,0.143843812
2017-08-28,16.99746907,16.814111,0.183358066,0.151746663
2017-08-29,17.06278166,16.85913988,0.203641773,0.162125685
2017-08-30,17.11527668,16.89949984,0.21577684,0.172855916
2017-08-31,17.17138789,16.94249982,0.228888072,0.184062347
2017-09-01,17.25563589,17.00001834,0.255617546,0.198373387
2017-09-05,17.34630718,17.06260952,0.283697659,0.215438241
2017-09-06,17.41856761,17.11841623,0.300151389,0.232380871
2017-09-07,17.5104804,17.18490397,0.325576436,0.251019984
2017-09-08,17.58994502,17.24728148,0.34266354,0.269348695
2017-09-11,17.62333797,17.28874206,0.334595919,0.28239814
2017-09-12,17.64974753,17.32624265,0.323504879,0.290619488
2017-09-13,17.6685555,17.35926166,0.309293837,0.294354358
2017-09-14,17.67308542,17.38435339,0.288732028,0.293229892
2017-09-15,17.66353382,17.40114203,0.262391792,0.287062272
2017-09-18,17.57237464,17.376687,0.19568764,0.268787345
2017-09-19,17.51431696,17.36322868,0.151088274,0.245247531
2017-09-20,17.47380657,17.35491541,0.118891165,0.219976258
2017-09-21,17.39122099,17.32395873,0.067262257,0.189433458
2017-09-22,17.31611005,17.29277659,0.023333454,0.156213457
2017-09-25,17.27655466,17.27545981,0.001094848,0.125189735
2017-09-26,17.20385407,17.24053692,-0.036682851,0.092815218
2017-09-27,17.13372255,17.20405265,-0.070330095,0.060186155
2017-09-28,17.07822689,17.17212288,-0.09389599,0.029369726
2017-09-29,17.0057305,17.13026195,-0.124531452,-0.001410509
